Time (s),X Position,Y Position,Z Position,Travel Distance,Lidar Points,CPU Usage (%),Memory Usage (MB)
19.98,-1.0514773058247422e-13,7.255953874457894e-28,0.0,0.0,-,-,-
20.02,-1.0661065758343586e-13,7.4648502068669e-28,0.0,0.0,-,-,-
20.07,-1.0806962213649951e-13,7.676313685918019e-28,0.0,0.0,-,-,-
-,-,-,-,-,720,-,-
20.11,-1.0952464265334784e-13,7.890330030894168e-28,0.0,0.0,-,-,-
20.15,-1.1097591146751864e-13,8.106910702327398e-28,0.0,0.0,-,-,-
-,-,-,-,-,720,-,-
20.19,-1.1242317998537888e-13,8.325997130459853e-28,0.0,0.0,-,-,-
20.23,-1.1386669713208236e-13,8.547611575722538e-28,0.0,0.0,-,-,-
20.28,-1.153060680871327e-13,8.771674884667842e-28,0.0,0.0,-,-,-
-,-,-,-,-,720,-,-
20.31,-1.1674153054271147e-13,8.998212673872805e-28,0.0,0.0,-,-,-
20.35,-1.1817292830326978e-13,9.227183986067998e-28,0.0,0.0,-,-,-
-,-,-,-,-,720,-,-
20.39,-1.196007212741811e-13,9.458642880391602e-28,0.0,0.0,-,-,-
20.43,-1.210244450560043e-13,9.6924955122186e-28,0.0,0.0,-,-,-
20.47,-1.2244429546894342e-13,9.928753345566917e-28,0.0,0.0,-,-,-
-,-,-,-,-,720,-,-
20.51,-1.2386026563199914e-13,1.0167401554569399e-27,0.0,0.0,-,-,-
20.55,-1.2527240232631295e-13,1.0408432557642821e-27,0.0,0.0,-,-,-
-,-,-,-,-,720,-,-
20.59,-1.2668076764966416e-13,1.0651840997762902e-27,0.0,0.0,-,-,-
20.63,-1.2808527583923384e-13,1.0897600803900533e-27,0.0,0.0,-,-,-
20.68,-1.2948543791013767e-13,1.114560875541175e-27,0.0,0.0,-,-,-
-,-,-,-,-,720,-,-
20.72,-1.3088178200027446e-13,1.1395935381423249e-27,0.0,0.0,-,-,-
20.76,-1.3227417212962513e-13,1.1648537937219555e-27,0.0,0.0,-,-,-
-,-,-,-,-,720,-,-
20.79,-1.3366265987417808e-13,1.190341497918479e-27,0.0,0.0,-,-,-
20.83,-1.3504756320443448e-13,1.2160608067827317e-27,0.0,0.0,-,-,-
20.88,-1.3642824283528723e-13,1.2419985229779285e-27,0.0,0.0,-,-,-
-,-,-,-,-,720,-,-
20.92,-1.3780522786007218e-13,1.268162310912958e-27,0.0,0.0,-,-,-
20.96,-1.3917828664236268e-13,1.2945462183852482e-27,0.0,0.0,-,-,-
-,-,-,-,-,720,-,-
21.0,-1.4054742203076266e-13,1.3211486381724274e-27,0.0,0.0,-,-,-
21.04,-1.419126693158698e-13,1.3479686689445859e-27,0.0,0.0,-,-,-
21.08,-1.4327386784757424e-13,1.3750015853212647e-27,0.0,0.0,-,-,-
-,-,-,-,-,720,-,-
21.12,-1.4463129487345713e-13,1.4022510239752842e-27,0.0,0.0,-,-,-
21.16,-1.4598462514374716e-13,1.4297085241252796e-27,0.0,0.0,-,-,-
-,-,-,-,-,720,-,-
21.2,-1.4733402723205887e-13,1.4573757198687057e-27,0.0,0.0,-,-,-
21.24,-1.4867956388580056e-13,1.485252340138299e-27,0.0,0.0,-,-,-
21.29,-1.5002109528461696e-13,1.513333727170125e-27,0.0,0.0,-,-,-
-,-,-,-,-,720,-,-
21.32,-1.5135912640195373e-13,1.5416290336331931e-27,0.0,0.0,-,-,-
21.36,-1.526927866718837e-13,1.5701183290660676e-27,0.0,0.0,-,-,-
-,-,-,-,-,720,-,-
21.41,-1.540227205736588e-13,1.5988136978948842e-27,0.0,0.0,-,-,-
21.45,-1.5534868180191186e-13,1.6277075796594264e-27,0.0,0.0,-,-,-
21.49,-1.5667106954484442e-13,1.6568074003319725e-27,0.0,0.0,-,-,-
-,-,-,-,-,720,-,-
21.53,-1.5798930593069366e-13,1.6860988351330338e-27,0.0,0.0,-,-,-
21.57,-1.5930359957589257e-13,1.715584923153806e-27,0.0,0.0,-,-,-
-,-,-,-,-,720,-,-
21.61,-1.606139207840139e-13,1.7452635765576606e-27,0.0,0.0,-,-,-
21.65,-1.619202997683498e-13,1.7751333409929395e-27,0.0,0.0,-,-,-
21.7,-1.632230130770225e-13,1.8051989711927236e-27,0.0,0.0,-,-,-
-,-,-,-,-,720,-,-
21.73,-1.645217640037622e-13,1.8354519963138277e-27,0.0,0.0,-,-,-
21.77,-1.6581642145475983e-13,1.865887470067852e-27,0.0,0.0,-,-,-
-,-,-,-,-,720,-,-
21.81,-1.671073046048034e-13,1.896511173601695e-27,0.0,0.0,-,-,-
21.86,-1.6839437428480376e-13,1.9273206364754602e-27,0.0,0.0,-,-,-
21.9,-1.6967756683261326e-13,1.9583130832450835e-27,0.0,0.0,-,-,-
-,-,-,-,-,720,-,-
21.94,-1.7095707527709497e-13,1.9894917676761977e-27,0.0,0.0,-,-,-
21.98,-1.7223255196522e-13,2.020846195624441e-27,0.0,0.0,-,-,-
-,-,-,-,-,720,-,-
22.02,-1.7350414223472713e-13,2.05237810181476e-27,0.0,0.0,-,-,-
22.07,-1.7477195615052551e-13,2.0840885330446826e-27,0.0,0.0,-,-,-
22.11,-1.760356085745817e-13,2.115965944358226e-27,0.0,0.0,-,-,-
-,-,-,-,-,720,-,-
22.15,-1.7729561457472605e-13,2.148021478777047e-27,0.0,0.0,-,-,-
22.19,-1.7855190677218984e-13,2.18025241718883e-27,0.0,0.0,-,-,-
-,-,-,-,-,720,-,-
22.23,-1.7980418341880851e-13,2.2126492065007395e-27,0.0,0.0,-,-,-
22.27,-1.8105260469857824e-13,2.2452143077838225e-27,0.0,0.0,-,-,-
22.31,-1.8229707879926425e-13,2.2779434932350816e-27,0.0,0.0,-,-,-
-,-,-,-,-,720,-,-
22.35,-1.835375836287739e-13,2.310834738984455e-27,0.0,0.0,-,-,-
22.39,-1.8477421923479715e-13,2.3438887552337252e-27,0.0,0.0,-,-,-
-,-,-,-,-,720,-,-
22.44,-1.860068836051946e-13,2.3771013708419083e-27,0.0,0.0,-,-,-
22.47,-1.8723575531334422e-13,2.4104754108879357e-27,0.0,0.0,-,-,-
22.51,-1.8846065388743637e-13,2.444004703202948e-27,0.0,0.0,-,-,-
-,-,-,-,-,720,-,-
22.55,-1.8968176526227122e-13,2.4776927148129626e-27,0.0,0.0,-,-,-
22.59,-1.9089889707744273e-13,2.511532469818452e-27,0.0,0.0,-,-,-
-,-,-,-,-,720,-,-
22.64,-1.9211199919962225e-13,2.545520135058551e-27,0.0,0.0,-,-,-
22.68,-1.9332130321634643e-13,2.5796609578341796e-27,0.0,0.0,-,-,-
22.72,-1.9452691082047547e-13,2.613956325991913e-27,0.0,0.0,-,-,-
-,-,-,-,-,720,-,-
22.76,-1.9572854053188297e-13,2.648396578091997e-27,0.0,0.0,-,-,-
22.8,-1.9692624792062877e-13,2.6829812239534994e-27,0.0,0.0,-,-,-
-,-,-,-,-,720,-,-
22.84,-1.9812013655518778e-13,2.7177119839776665e-27,0.0,0.0,-,-,-
22.88,-1.993099909198657e-13,2.7525810653889612e-27,0.0,0.0,-,-,-
22.92,-2.0049600078486063e-13,2.7875920542738258e-27,0.0,0.0,-,-,-
-,-,-,-,-,720,-,-
22.96,-2.0167807949730716e-13,2.8227406936952814e-27,0.0,0.0,-,-,-
23.0,-2.0285620329586125e-13,2.858024601940702e-27,0.0,0.0,-,-,-
-,-,-,-,-,720,-,-
23.04,-2.0403055571280158e-13,2.893447485398024e-27,0.0,0.0,-,-,-
23.08,-2.0520107603240046e-13,2.929005812066763e-27,0.0,0.0,-,-,-
23.12,-2.0636781634855659e-13,2.9646996986802438e-27,0.0,0.0,-,-,-
-,-,-,-,-,720,-,-
23.17,-2.075304474838613e-13,3.000517061082498e-27,0.0,0.0,-,-,-
23.2,-2.0868914637492914e-13,3.0364620535674427e-27,0.0,0.0,-,-,-
-,-,-,-,-,720,-,-
23.25,-2.0984421375411678e-13,3.072542242712493e-27,0.0,0.0,-,-,-
23.29,-2.1099498484029923e-13,3.1087350281633304e-27,0.0,0.0,-,-,-
23.33,-2.1214185102157038e-13,3.1450514268388632e-27,0.0,0.0,-,-,-
-,-,-,-,-,720,-,-
23.37,-2.1328517698630628e-13,3.1815017300181198e-27,0.0,0.0,-,-,-
23.41,-2.1442456319965572e-13,3.2180710215714452e-27,0.0,0.0,-,-,-
-,-,-,-,-,720,-,-
23.45,-2.155599853021506e-13,3.2547566847233995e-27,0.0,0.0,-,-,-
23.49,-2.1669157110553493e-13,3.29156134145454e-27,0.0,0.0,-,-,-
23.53,-2.1781922764152165e-13,3.328480447389338e-27,0.0,0.0,-,-,-
-,-,-,-,-,720,-,-
23.57,-2.189431039981179e-13,3.365517277839526e-27,0.0,0.0,-,-,-
23.61,-2.2006317672880303e-13,3.402669430357073e-27,0.0,0.0,-,-,-
-,-,-,-,-,720,-,-
23.65,-2.2117912017409848e-13,3.4399244288608394e-27,0.0,0.0,-,-,-
23.69,-2.2229135093867203e-13,3.477293938862347e-27,0.0,0.0,-,-,-
23.73,-2.2339978985446563e-13,3.514773695361397e-27,0.0,0.0,-,-,-
-,-,-,-,-,720,-,-
23.77,-2.245043310508408e-13,3.552358602592046e-27,0.0,0.0,-,-,-
23.81,-2.2560490134189013e-13,3.590044772997879e-27,0.0,0.0,-,-,-
-,-,-,-,-,720,-,-
23.85,-2.2670159721713884e-13,3.627833800858098e-27,0.0,0.0,-,-,-
23.89,-2.277944058635233e-13,3.665723323377807e-27,0.0,0.0,-,-,-
23.94,-2.2888334879066775e-13,3.7037119994663886e-27,0.0,0.0,-,-,-
-,-,-,-,-,720,-,-
23.98,-2.2996820208543213e-13,3.7417906847097506e-27,0.0,0.0,-,-,-
24.02,-2.3104936694645066e-13,3.7799717257387935e-27,0.0,0.0,-,-,-
-,-,-,-,-,720,-,-
24.06,-2.32126704625474e-13,3.8182487617597165e-27,0.0,0.0,-,-,-
24.1,-2.3320026692156907e-13,3.856621955607607e-27,0.0,0.0,-,-,-
24.14,-2.3426982173091454e-13,3.895081524710009e-27,0.0,0.0,-,-,-
-,-,-,-,-,720,-,-
24.18,-2.3533547503979383e-13,3.933629633677523e-27,0.0,0.0,-,-,-
24.22,-2.363971811899403e-13,3.972262742919664e-27,0.0,0.0,-,-,-
-,-,-,-,-,720,-,-
24.26,-2.3745506152126283e-13,4.010983760977761e-27,0.0,0.0,-,-,-
24.3,-2.385093191059132e-13,4.049798443173105e-27,0.0,0.0,-,-,-
24.34,-2.3955960305546605e-13,4.0886923745516934e-27,0.0,0.0,-,-,-
-,-,-,-,-,720,-,-
24.38,-2.4060605888996507e-13,4.127669126522078e-27,0.0,0.0,-,-,-
24.42,-2.4164859675197055e-13,4.166723247265577e-27,0.0,0.0,-,-,-
-,-,-,-,-,720,-,-
24.47,-2.426870427374926e-13,4.205847013997501e-27,0.0,0.0,-,-,-
24.52,-2.4372165757772317e-13,4.245048856787523e-27,0.0,0.0,-,-,-
24.56,-2.4475259943229155e-13,4.284333018871899e-27,0.0,0.0,-,-,-
-,-,-,-,-,720,-,-
24.62,-2.457795700848075e-13,4.323686144153483e-27,0.0,0.0,-,-,-
24.66,-2.4680268259974677e-13,4.363110858584919e-27,0.0,0.0,-,-,-
-,-,-,-,-,720,-,-
24.71,-2.478219479039882e-13,4.402606380849657e-27,0.0,0.0,-,-,-
24.75,-2.488371924829772e-13,4.442164136608826e-27,0.0,0.0,-,-,-
24.8,-2.4984851272814967e-13,4.4817860761143394e-27,0.0,0.0,-,-,-
-,-,-,-,-,720,-,-
24.83,-2.5085608259866524e-13,4.521477289064764e-27,0.0,0.0,-,-,-
24.87,-2.5185985043066526e-13,4.561233915668505e-27,0.0,0.0,-,-,-
-,-,-,-,-,720,-,-
24.91,-2.5285943691726406e-13,4.601039558401072e-27,0.0,0.0,-,-,-
24.96,-2.538555499401739e-13,4.6409211100459555e-27,0.0,0.0,-,-,-
25.0,-2.548476229814252e-13,4.680853963909863e-27,0.0,0.0,-,-,-
-,-,-,-,-,720,-,-
25.04,-2.5583593626980933e-13,4.720847478845591e-27,0.0,0.0,-,-,-
25.07,-2.568204267182955e-13,4.7608974684385345e-27,0.0,0.0,-,-,-
-,-,-,-,-,720,-,-
25.12,-2.5780108925496797e-13,4.801002157753021e-27,0.0,0.0,-,-,-
25.16,-2.587778837029637e-13,4.841158339404592e-27,0.0,0.0,-,-,-
25.2,-2.5975061045364536e-13,4.8813558534104666e-27,0.0,0.0,-,-,-
-,-,-,-,-,720,-,-
25.24,-2.6071950040969133e-13,4.921602966788936e-27,0.0,0.0,-,-,-
25.28,-2.616846302554594e-13,4.9619008568591894e-27,0.0,0.0,-,-,-
-,-,-,-,-,720,-,-
25.32,-2.626458669505316e-13,5.002242355963171e-27,0.0,0.0,-,-,-
25.37,-2.6360323501133707e-13,5.04262683249325e-27,0.0,0.0,-,-,-
25.4,-2.6455663185712963e-13,5.083048716325297e-27,0.0,0.0,-,-,-
-,-,-,-,-,720,-,-
