Time (s),X Position,Y Position,Z Position,Speed (m/s),Acceleration (m/s²),Obstacle Distance (m),Rotation Angle (deg),LiDAR Points
1742215229.6,-8.273121669571535e-14,4.442333899144177e-28,0.0,0.0,0.0,2.37,-0.0,720
1742215229.64,-8.425306308842634e-14,4.610630695419729e-28,0.0,0.0,-0.0,2.37,-0.0,720
1742215229.69,-8.577105853793344e-14,4.781763965422123e-28,0.0,0.0,-0.0,2.36,-0.0,720
1742215229.73,-8.728497242780843e-14,4.955687599226037e-28,0.0,0.0,-0.0,2.36,-0.0,720
1742215229.77,-8.879513055541532e-14,5.132422084417548e-28,0.0,0.0,0.0,2.36,-0.0,720
1742215229.81,-9.030123502955857e-14,5.311917797979267e-28,0.0,0.0,-0.0,2.36,-0.0,720
1742215229.85,-9.180341544958833e-14,5.494170727217706e-28,0.0,0.0,0.0,2.36,-0.0,720
1742215229.9,-9.330188524203727e-14,5.679194549534618e-28,0.0,0.0,-0.0,2.36,-0.0,720
1742215229.94,-9.479627703172664e-14,5.866923486389841e-28,0.0,0.0,0.0,2.36,-0.0,720
1742215229.97,-9.628675327944925e-14,6.057363689706236e-28,0.0,0.0,0.0,2.36,-0.0,720
1742215230.01,-9.777343914601226e-14,6.2505097839121275e-28,0.0,0.0,-0.0,2.36,-0.0,720
1742215230.05,-9.925609678986499e-14,6.4463180220942595e-28,0.0,0.0,0.0,2.36,-0.0,720
1742215230.1,-1.007347956601885e-13,6.644771958049782e-28,0.0,0.0,-0.0,2.36,-0.0,720
1742215230.14,-1.0220974591224937e-13,6.845888182544703e-28,0.0,0.0,0.0,2.37,-0.0,720
1742215230.18,-1.0368064072223107e-13,7.049609176987972e-28,0.0,0.0,-0.0,2.37,-0.0,720
1742215230.22,-1.0514773058247422e-13,7.255953874457894e-28,0.0,0.0,0.0,2.35,-0.0,720
1742215230.26,-1.0661065758343586e-13,7.4648502068669e-28,0.0,0.0,-0.0,2.35,-0.0,720
1742215230.3,-1.0806962213649951e-13,7.676313685918019e-28,0.0,0.0,0.0,2.35,-0.0,720
1742215230.34,-1.0952464265334784e-13,7.890330030894168e-28,0.0,0.0,0.0,2.35,-0.0,720
1742215230.38,-1.1097591146751864e-13,8.106910702327398e-28,0.0,0.0,-0.0,2.35,-0.0,720
1742215230.42,-1.1242317998537888e-13,8.325997130459853e-28,0.0,0.0,-0.0,2.35,-0.0,720
1742215230.46,-1.1386669713208236e-13,8.547611575722538e-28,0.0,0.0,0.0,2.35,-0.0,720
1742215230.5,-1.153060680871327e-13,8.771674884667842e-28,0.0,0.0,-0.0,2.35,-0.0,720
1742215230.55,-1.1674153054271147e-13,8.998212673872805e-28,0.0,0.0,-0.0,2.37,-0.0,720
1742215230.59,-1.1817292830326978e-13,9.227183986067998e-28,0.0,0.0,0.0,2.37,-0.0,720
1742215230.63,-1.196007212741811e-13,9.458642880391602e-28,0.0,0.0,-0.0,2.35,-0.0,720
1742215230.67,-1.210244450560043e-13,9.6924955122186e-28,0.0,0.0,0.0,2.35,-0.0,720
1742215230.71,-1.2244429546894342e-13,9.928753345566917e-28,0.0,0.0,-0.0,2.35,-0.0,720
1742215230.75,-1.2386026563199914e-13,1.0167401554569399e-27,0.0,0.0,0.0,2.37,-0.0,720
1742215230.79,-1.2527240232631295e-13,1.0408432557642821e-27,0.0,0.0,0.0,2.37,-0.0,720
1742215230.83,-1.2668076764966416e-13,1.0651840997762902e-27,0.0,0.0,-0.0,2.36,-0.0,720
1742215230.87,-1.2808527583923384e-13,1.0897600803900533e-27,0.0,0.0,0.0,2.36,-0.0,720
1742215230.92,-1.2948543791013767e-13,1.114560875541175e-27,0.0,0.0,-0.0,2.36,-0.0,720
1742215230.96,-1.3088178200027446e-13,1.1395935381423249e-27,0.0,0.0,0.0,2.34,-0.0,720
1742215230.99,-1.3227417212962513e-13,1.1648537937219555e-27,0.0,0.0,0.0,2.34,-0.0,720
1742215231.04,-1.3366265987417808e-13,1.190341497918479e-27,0.0,0.0,-0.0,2.36,-0.0,720
1742215231.08,-1.3504756320443448e-13,1.2160608067827317e-27,0.0,0.0,0.0,2.36,-0.0,720
1742215231.12,-1.3642824283528723e-13,1.2419985229779285e-27,0.0,0.0,-0.0,2.36,-0.0,720
1742215231.16,-1.3780522786007218e-13,1.268162310912958e-27,0.0,0.0,0.0,2.35,-0.0,720
1742215231.2,-1.3917828664236268e-13,1.2945462183852482e-27,0.0,0.0,0.0,2.35,-0.0,720
1742215231.24,-1.4054742203076266e-13,1.3211486381724274e-27,0.0,0.0,-0.0,2.36,-0.0,720
1742215231.28,-1.419126693158698e-13,1.3479686689445859e-27,0.0,0.0,-0.0,2.36,-0.0,720
1742215231.32,-1.4327386784757424e-13,1.3750015853212647e-27,0.0,0.0,0.0,2.36,-0.0,720
1742215231.36,-1.4463129487345713e-13,1.4022510239752842e-27,0.0,0.0,0.0,2.36,-0.0,720
1742215231.4,-1.4598462514374716e-13,1.4297085241252796e-27,0.0,0.0,-0.0,2.36,-0.0,720
1742215231.44,-1.4733402723205887e-13,1.4573757198687057e-27,0.0,0.0,0.0,2.36,-0.0,720
1742215231.48,-1.4867956388580056e-13,1.485252340138299e-27,0.0,0.0,-0.0,2.36,-0.0,720
1742215231.52,-1.5002109528461696e-13,1.513333727170125e-27,0.0,0.0,0.0,2.36,-0.0,720
1742215231.57,-1.5135912640195373e-13,1.5416290336331931e-27,0.0,0.0,-0.0,2.36,-0.0,720
1742215231.61,-1.526927866718837e-13,1.5701183290660676e-27,0.0,0.0,0.0,2.36,-0.0,720
1742215231.65,-1.540227205736588e-13,1.5988136978948842e-27,0.0,0.0,-0.0,2.35,-0.0,720
1742215231.69,-1.5534868180191186e-13,1.6277075796594264e-27,0.0,0.0,-0.0,2.35,-0.0,720
1742215231.73,-1.5667106954484442e-13,1.6568074003319725e-27,0.0,0.0,-0.0,2.37,-0.0,720
1742215231.77,-1.5798930593069366e-13,1.6860988351330338e-27,0.0,0.0,-0.0,2.37,-0.0,720
1742215231.81,-1.5930359957589257e-13,1.715584923153806e-27,0.0,0.0,0.0,2.37,-0.0,720
1742215231.85,-1.606139207840139e-13,1.7452635765576606e-27,0.0,0.0,0.0,2.36,-0.0,720
1742215231.89,-1.619202997683498e-13,1.7751333409929395e-27,0.0,0.0,-0.0,2.36,-0.0,720
1742215231.94,-1.632230130770225e-13,1.8051989711927236e-27,0.0,0.0,0.0,2.36,-0.0,720
1742215231.98,-1.645217640037622e-13,1.8354519963138277e-27,0.0,0.0,-0.0,2.36,-0.0,720
1742215232.02,-1.6581642145475983e-13,1.865887470067852e-27,0.0,0.0,0.0,2.36,-0.0,720
1742215232.05,-1.671073046048034e-13,1.896511173601695e-27,0.0,0.0,0.0,2.36,-0.0,720
1742215232.1,-1.6839437428480376e-13,1.9273206364754602e-27,0.0,0.0,-0.0,2.36,-0.0,720
1742215232.14,-1.6967756683261326e-13,1.9583130832450835e-27,0.0,0.0,0.0,2.36,-0.0,720
1742215232.18,-1.7095707527709497e-13,1.9894917676761977e-27,0.0,0.0,0.0,2.37,-0.0,720
1742215232.22,-1.7223255196522e-13,2.020846195624441e-27,0.0,0.0,-0.0,2.37,-0.0,720
1742215232.26,-1.7350414223472713e-13,2.05237810181476e-27,0.0,0.0,0.0,2.36,-0.0,720
1742215232.3,-1.7477195615052551e-13,2.0840885330446826e-27,0.0,0.0,-0.0,2.36,-0.0,720
1742215232.34,-1.760356085745817e-13,2.115965944358226e-27,0.0,0.0,-0.0,2.37,-0.0,720
1742215232.39,-1.7729561457472605e-13,2.148021478777047e-27,0.0,0.0,-0.0,2.37,-0.0,720
1742215232.42,-1.7855190677218984e-13,2.18025241718883e-27,0.0,0.0,0.0,2.37,-0.0,720
1742215232.47,-1.7980418341880851e-13,2.2126492065007395e-27,0.0,0.0,-0.0,2.36,-0.0,720
1742215232.5,-1.8105260469857824e-13,2.2452143077838225e-27,0.0,0.0,0.0,2.36,-0.0,720
1742215232.55,-1.8229707879926425e-13,2.2779434932350816e-27,0.0,0.0,-0.0,2.36,-0.0,720
1742215232.59,-1.835375836287739e-13,2.310834738984455e-27,0.0,0.0,0.0,2.36,-0.0,720
1742215232.63,-1.8477421923479715e-13,2.3438887552337252e-27,0.0,0.0,-0.0,2.36,-0.0,720
1742215232.66,-1.860068836051946e-13,2.3771013708419083e-27,0.0,0.0,0.0,2.35,-0.0,720
1742215232.71,-1.8723575531334422e-13,2.4104754108879357e-27,0.0,0.0,-0.0,2.35,-0.0,720
1742215232.75,-1.8846065388743637e-13,2.444004703202948e-27,0.0,0.0,-0.0,2.35,-0.0,720
1742215232.8,-1.8968176526227122e-13,2.4776927148129626e-27,0.0,0.0,0.0,2.36,-0.0,720
1742215232.83,-1.9089889707744273e-13,2.511532469818452e-27,0.0,0.0,0.0,2.36,-0.0,720
1742215232.88,-1.9211199919962225e-13,2.545520135058551e-27,0.0,0.0,-0.0,2.36,-0.0,720
1742215232.91,-1.9332130321634643e-13,2.5796609578341796e-27,0.0,0.0,0.0,2.36,-0.0,720
1742215232.96,-1.9452691082047547e-13,2.613956325991913e-27,0.0,0.0,-0.0,2.36,-0.0,720
1742215233.0,-1.9572854053188297e-13,2.648396578091997e-27,0.0,0.0,0.0,2.37,-0.0,720
1742215233.04,-1.9692624792062877e-13,2.6829812239534994e-27,0.0,0.0,-0.0,2.37,-0.0,720
1742215233.08,-1.9812013655518778e-13,2.7177119839776665e-27,0.0,0.0,-0.0,2.36,-0.0,720
1742215233.12,-1.993099909198657e-13,2.7525810653889612e-27,0.0,0.0,0.0,2.36,-0.0,720
1742215233.16,-2.0049600078486063e-13,2.7875920542738258e-27,0.0,0.0,-0.0,2.36,-0.0,720
1742215233.21,-2.0167807949730716e-13,2.8227406936952814e-27,0.0,0.0,0.0,2.37,-0.0,720
1742215233.24,-2.0285620329586125e-13,2.858024601940702e-27,0.0,0.0,0.0,2.37,-0.0,720
1742215233.28,-2.0403055571280158e-13,2.893447485398024e-27,0.0,0.0,-0.0,2.37,-0.0,720
1742215233.32,-2.0520107603240046e-13,2.929005812066763e-27,0.0,0.0,-0.0,2.37,-0.0,720
1742215233.37,-2.0636781634855659e-13,2.9646996986802438e-27,0.0,0.0,-0.0,2.37,-0.0,720
1742215233.41,-2.075304474838613e-13,3.000517061082498e-27,0.0,0.0,0.0,2.35,-0.0,720
1742215233.45,-2.0868914637492914e-13,3.0364620535674427e-27,0.0,0.0,0.0,2.35,-0.0,720
1742215233.49,-2.0984421375411678e-13,3.072542242712493e-27,0.0,0.0,-0.0,2.37,-0.0,720
1742215233.53,-2.1099498484029923e-13,3.1087350281633304e-27,0.0,0.0,-0.0,2.37,-0.0,720
1742215233.57,-2.1214185102157038e-13,3.1450514268388632e-27,0.0,0.0,0.0,2.37,-0.0,720
1742215233.61,-2.1328517698630628e-13,3.1815017300181198e-27,0.0,0.0,-0.0,2.36,-0.0,720
1742215233.65,-2.1442456319965572e-13,3.2180710215714452e-27,0.0,0.0,-0.0,2.36,-0.0,720
1742215233.7,-2.155599853021506e-13,3.2547566847233995e-27,0.0,0.0,-0.0,2.37,-0.0,720
1742215233.74,-2.1669157110553493e-13,3.29156134145454e-27,0.0,0.0,0.0,2.37,-0.0,720
1742215233.78,-2.1781922764152165e-13,3.328480447389338e-27,0.0,0.0,-0.0,2.37,-0.0,720
1742215233.82,-2.189431039981179e-13,3.365517277839526e-27,0.0,0.0,0.0,2.35,-0.0,720
1742215233.86,-2.2006317672880303e-13,3.402669430357073e-27,0.0,0.0,0.0,2.35,-0.0,720
